1,TeWinkle Park,970 Arlington Dr,Costa Mesa,CA,92626,33.670473,-117.898536
2,Fairview Park,2501 Placentia Ave,Costa Mesa,CA,92626,33.663404,-117.938030
3,Talbert Regional Park,1298 Victoria St,Costa Mesa,CA,92627,33.646061,-117.949681
4,Newport Beach,Balboa Blvd. at Oceanfront & 21st St.,Newport Beach,CA,92663,33.606625,-117.926135
5,Laguna Beach,107 S Coast Hwy,Laguna Beach,CA,92651,33.542484,-117.785129
6,Corona del Mar State Beach,3001 Ocean Blvd,Corona Del Mar,CA,92625,33.593332,-117.875432
7,Costa Mesa High School,2650 Fairview Rd,Costa Mesa,CA,92626,33.670974,-117.905473
8,University of California Irvine,Lot 15A,Irvine,CA,92617,33.640745,-117.844275
